Epic,Feature,User Story,Acceptance Criteria,Priority,Notes
EPIC 1 – Digital Worker Identity & Job Architecture,Multi Home Identity,"As Architecture, I assign primary and secondary organizational homes to Digital Workers that support cross functional workflows so accountability and value attribution remain consistent in shared service models.",Primary BU is required; secondary BU is optional; reporting and value attribution support weighted logic across BUs; multi home details are visible in reporting and the identity card.,Could,
EPIC 2 – Digital Worker Lifecycle Management,Workforce Onboarding Workflow,"As Digital HR, I onboard a new Digital Worker with identity, job family, scopes, business unit, and manager assignment so it can enter the environment under proper governance.","Onboarding form includes required identity fields, job family, BU, Department, primary owner, and process associations; successful onboarding creates a catalog record; new worker starts in a Stage or non production state.",Must,"Agent365 handles technical onboarding by registering agents with Entra ID; refine this workflow to orchestrate that registration while collecting additional business data (job family, BU, owner, purpose) and ensuring agents are created only through the Agent365-based path."
EPIC 2 – Digital Worker Lifecycle Management,Digital Worker Probation Period,"As Digital HR, I place new or newly promoted Digital Workers into a probation period with enhanced guardrails so we can validate behavior before granting full autonomy.","Probation flag can be set with configurable duration; while in probation, additional monitoring and stricter guardrails are applied; any serious violation during probation triggers automatic rollback to previous autonomy level or suspension.",Must,
EPIC 2 – Digital Worker Lifecycle Management,Temporary Pause or Leave of Absence,"As a Product Owner, I temporarily pause a Digital Worker due to risk, policy changes, or process redesign so it does not continue acting while under review.",Digital Worker can be switched to Paused status; Paused status revokes active access scopes while preserving configuration; resuming the worker requires a simple workflow that revalidates governance and risk checks; pause and resume are logged for audit.,Must,"Use Agent365's ability to disable or quarantine an agent identity as the underlying pause mechanism; this story should add a lightweight business workflow and logging layer around that control (reason, approver, resume conditions)."
EPIC 2 – Digital Worker Lifecycle Management,Role and Assignment Change Workflow,"As Digital HR, I change a Digital Worker’s role, BU alignment, or process assignments using a controlled workflow so changes remain governed and traceable.","Change workflow captures new BU, Department, processes, and RACI as needed; High risk workers require governance council approval for changes; risk tier is recalculated when role or process changes; all changes are recorded in version history.",Should,
EPIC 2 – Digital Worker Lifecycle Management,Autonomy Promotion Path,"As Digital HR, I upgrade a Digital Worker’s autonomy from Suggest to Execute or Orchestrate only when performance and governance metrics justify it.","Promotion workflow checks SLO performance including TTO, policy pass rate, and reliability; promotion is blocked if thresholds are not met; successful promotion updates autonomy level and history and is logged for audit.",Must,
EPIC 2 – Digital Worker Lifecycle Management,Corrective Action Workflow,"As Compliance, I open a corrective action case for a Digital Worker when performance or safety issues arise so remediation is formally tracked and resolved.","Corrective action record includes severity, issues observed, and proposed remediation; remediation can include configuration change, scope restriction, or retraining by engineering; unresolved cases escalate after a defined period; closure is recorded with outcome.",Must,
EPIC 2 – Digital Worker Lifecycle Management,Incident and Violation Record,"As Audit, I track incidents and policy violations linked to each Digital Worker so risk and compliance reviews are based on a complete history.","Incident log stores type, severity, time, and resolution details; incidents are linked to the Digital Worker’s history; repeated or severe incidents feed into risk and performance scoring.",Must,"Agent365 logs policy violations and risky behaviors; refine this story to pull those logs into a per-agent incident history view, linking them to governance actions and performance scoring rather than building low-level detection from scratch."
EPIC 2 – Digital Worker Lifecycle Management,Retirement Triggers and Eligibility Rules,"As Strategy, I define retirement triggers so Digital Workers are flagged when they are obsolete, underperforming, or superseded by new capabilities.","Retirement rules can include age, performance decline, risk changes, and process sunset; workers meeting retirement criteria enter Retirement Candidate status; governance reviews candidate workers on a regular cadence.",Should,
EPIC 2 – Digital Worker Lifecycle Management,Succession Planning Wizard,"As a Product Owner, I retire a Digital Worker and assign a successor so knowledge and operational continuity are preserved.",Wizard guides memory export or data transfer; successor worker and scope are selected; old worker moves to Retired status; export is validated using checksum or hash; retirement and succession are logged for audit.,Should,
EPIC 3 – Workforce Planning and Capacity,Multi Dimensional Capacity Model,"As Digital HR, I view capacity and load for Digital Workers across business unit, region, process, and time so I can plan workforce levels accurately.","Capacity views support filters by BU, region, process, and time window; load indicators show current and recent utilization; alerts highlight workers or processes with sustained high utilization beyond defined thresholds.",Must,"Agent365 and Foundry provide raw usage and performance telemetry; use their data feeds as the source for multi-dimensional capacity views across BU, region, process, and time instead of custom metering."
EPIC 3 – Workforce Planning and Capacity,Multi Worker Assignment Optimizer,"As Digital HR, I use an optimizer that recommends which Digital Worker should handle specific tasks or processes so assignments balance SLO performance, skills, and load.","Optimizer considers SLO performance, risk tier, autonomy level, and current utilization; recommendations can be reviewed before applying; optimizer identifies overloaded and underused workers and suggests rebalancing opportunities.",Must,
EPIC 3 – Workforce Planning and Capacity,Cost Informed Workforce Planning,"As Finance, I plan Digital Worker capacity with cost overlays so I can understand the financial impact of workforce decisions.",Per worker cost metrics can be displayed alongside performance and utilization; planning views show projected cost changes under different scenarios; planners can set budget thresholds that trigger alerts.,Should,"Foundry surfaces detailed runtime and cost metrics; refine this story to consume those platform cost signals and layer forecasting and budget impact analysis on top, rather than recreating cost tracking."
EPIC 3 – Workforce Planning and Capacity,Digital Worker Utilization Forecast and SLO Risk Model,"As Digital HR, I forecast Digital Worker utilization and SLO risk so I can rebalance assignments before performance degrades.","Forecasts show expected utilization over 7, 30, and 90 days; risk scoring uses TTO, policy pass rate, autonomy ratio, and error budget consumption; high risk projections generate alerts and suggested mitigations such as reassignments.",Should,
EPIC 3 – Workforce Planning and Capacity,Scenario Simulator,"As Strategy, I simulate what if scenarios such as demand spikes or worker retirement so I can understand the impact on TTO and SLOs before making changes.","Simulator accepts configurable scenario parameters; simulator returns projected TTO, utilization, and cost impacts; results can be exported or used to update workforce plans.",Could,
EPIC 3 – Workforce Planning and Capacity,Multi Agent Capacity Pooling,"As Architecture, I plan capacity for teams of Digital Workers that collaborate on shared workflows so I can manage team level performance.",Team views show combined throughput and SLOs for groups of workers; team composition can be adjusted to see effect on capacity; dependencies and bottlenecks within a team are highlighted.,Could,
EPIC 4 – Digital Worker Performance Management,SLO Performance Score,"As Digital HR, I generate an SLO Performance Score for each Digital Worker so leaders can see how closely it aligns with enterprise targets for speed, trust, and autonomy.","Score aggregates key SLOs including TTO, policy pass rate, autonomy ratio, and reliability; thresholds for acceptable scores can be configured; low scores trigger review or corrective action workflows.",Must,"Foundry and Agent365 expose many underlying quality, reliability, and latency metrics; adjust this story to define a composite SLO score that is calculated from those platform metrics instead of re-implementing basic measurements."
EPIC 4 – Digital Worker Performance Management,Incident Adjusted Performance Modifier,"As Audit, I adjust a Digital Worker’s effective performance score based on incidents and policy violations so ratings reflect both value and risk.",Modifier logic links severity and frequency of incidents to performance adjustments; high severity incidents reduce effective scores until remediation is complete; adjusted scores are used in promotion and governance decisions.,Must,
EPIC 4 – Digital Worker Performance Management,Digital Worker Strength Profile,"As Strategy, I view a Digital Worker’s strength and weakness profile, calculated using aggregated SLO signals including TTO performance, policy pass rate, autonomy mode distribution, escalation frequency, latency stability, error budget burn rate, and drift indicators, so I can optimize task allocation and autonomy planning.","Strength and weakness scores are computed per intent and per process; scores use SLO signals such as TTO, policy pass rate, autonomy mode mix, escalation counts, latency variance, error budget burn, and drift trends; profile includes 7, 30, and 90 day views; recommendations indicate tasks where the worker is a good or poor fit.",Should,Foundry's evaluation framework can break down performance by task or intent; refine this story to transform those evaluation results into an interpretable strengths/weaknesses profile per agent.
EPIC 4 – Digital Worker Performance Management,Consistency Index,"As Digital HR, I measure the consistency of a Digital Worker’s behavior over time so instability or drift can be detected early.","Index tracks variance in SLO metrics such as TTO, policy pass rate, and escalation rates; thresholds for acceptable variance can be configured; index is displayed in performance dashboards and feeds into risk and corrective action logic.",Should,"Use time-series performance data and evaluations from Foundry to compute stability/variance metrics; this story should focus on defining the consistency index formula and alert thresholds, not on building telemetry collection."
EPIC 4 – Digital Worker Performance Management,Workforce Benchmarking,"As Digital HR, I benchmark Digital Workers against peers in the same job family or process so I can identify outliers and best in class performers.","Benchmark view allows filters by job family, BU, process, and autonomy level; workers are ranked by SLO performance and value metrics; outliers above and below norms are highlighted for investigation or reuse.",Should,"Foundry and Agent365 support fleet-wide metrics; refine this story to benchmark agents by querying those platform datasets (e.g., by job family or process) and presenting rankings or outliers in your own reporting layer."
EPIC 4 – Digital Worker Performance Management,Individual Improvement Plan,"As Compliance, I generate an improvement plan for a Digital Worker when performance or safety indicators fall below standards so remediation is structured and trackable.",Plan includes specific goals based on underperforming SLOs or behaviors; recommended remediation actions are recorded; progress against the plan can be monitored over time.,Could,
EPIC 4 – Digital Worker Performance Management,Recognition Engine,"As Leadership, I identify high performing Digital Workers so their designs and patterns can be reused and their scope can be expanded.",Engine flags workers that consistently exceed SLO targets and deliver high value; flagged workers can be marked as templates or candidates for broader deployment; recognitions are displayed in performance dashboards.,Could,
EPIC 5 – Workforce Governance,Workforce Risk Tiering,"As Risk, I classify each Digital Worker into a risk tier so governance, review frequency, and control requirements match its potential impact.","Risk tier calculation uses factors such as data sensitivity, autonomy level, and scope of action; workers are labeled Low, Medium, High, or Critical; tier drives required reviews and control checks.",Must,Agent365 and Defender provide real-time risk signals for agents; this story should map those signals into your formal risk tiers (Low/Med/High/Critical) and define tier-specific controls rather than creating a new risk engine.
EPIC 5 – Workforce Governance,Policy Packs by Job Family and Process,"As Risk, I assign policy packs to Digital Workers based on job family and business process so the right business level controls are enforced.","Policy packs include applicable business, regulatory, and compliance rules; a policy pack is required at onboarding; changes to policy packs are versioned and logged; policy packs are applied consistently across workers in the same job family and process.",Must,Use Agent365's policy templates and guardrail configuration as the enforcement mechanism; refine this story to define which templates apply to each job family/process and manage their lifecycle through Agent365 rather than a separate policy system.
EPIC 5 – Workforce Governance,Periodic Governance Review,"As Governance, I perform periodic reviews of Digital Workers so their risk, scope, and controls remain appropriate over time.","Review cadence can be set by risk tier; review checklist includes scope, incidents, SLO performance, policy packs, and autonomy level; completed reviews are logged with outcomes and actions.",Must,
EPIC 5 – Workforce Governance,Business Control Guardrails,"As Compliance, I configure business level guardrails for Digital Workers so they operate within spend, access, and regulatory boundaries.","Guardrails define limits such as maximum spend, required approvals, and allowed data domains; guardrail violations block or halt actions; guardrails are configurable by BU, job family, and risk tier.",Must,"Implement technical enforcement of business limits (data scope, spending, approvals) using Agent365 and Foundry guardrails; this story should focus on defining those business rules and mapping them into platform policies and configurations."
EPIC 5 – Workforce Governance,Governance Audit Trail,"As Audit, I view the organizational governance history for a Digital Worker so onboarding, changes, and approvals are fully traceable.","Audit trail records onboarding approvals, role and scope changes, autonomy promotions, policy pack changes, and retirement decisions; audit data can be exported for regulators when needed.",Must,"Agent365 and Foundry provide detailed logs for agent creation, updates, and policy changes; refine this story to centralize and enrich those logs with higher-level governance decisions so auditors have a single consolidated trail."
EPIC 5 – Workforce Governance,Separation of Duty Rules,"As Risk, I enforce separation of duty rules so no Digital Worker can control conflicting steps of a high risk process.",Rules define incompatible actions or roles; attempts by a single worker to perform conflicting actions are blocked; SOD violations are logged and surfaced in governance reports.,Must,
EPIC 5 – Workforce Governance,Control Variance Detection,"As Risk, I detect drift in governance controls for Digital Workers so changes in behavior or environment do not silently weaken safeguards.","Control variance logic monitors changes in SLOs, policy decisions, and access patterns; significant deviations from expected control behavior generate alerts; High and Critical workers can be automatically paused for review.",Should,Leverage anomaly and drift alerts from Foundry and risk alerts from Agent365 as inputs; refine this story to define what constitutes control variance and how those platform alerts trigger reviews or automated responses.
EPIC 5 – Workforce Governance,Org Escalation Rules and Routing,"As Digital HR, I define escalation rules for Digital Workers so issues are routed to the correct human owners across Risk, Compliance, and Operations.",Escalation table maps event types and severities to roles or teams; escalation paths are required for High and Critical workers; escalations are logged and tracked until closed.,Should,
EPIC 5 – Workforce Governance,Governance Impact Score,"As Leadership, I see a Governance Impact Score that combines risk and value contributions so I can decide where to scale or constrain Digital Workers.","Score formula uses factors such as risk tier, incident history, SLO performance, and business value; score is updated on a regular cadence; high value high risk workers are flagged for close oversight.",Could,
EPIC 5 – Workforce Governance,Workforce Governance Council Workflow,"As Governance, I route key lifecycle decisions such as onboarding, high risk scope changes, and retirement through a governance council so decisions are made with cross functional input.",Workflow routes requests to designated council members; decisions and rationale are captured; turnaround times are monitored; council activity is visible in governance reporting.,Could,
EPIC 6 – Productivity and Value Attribution,Value per Digital Worker Dashboard,"As a VP, I view the value created by each Digital Worker so I can see which workers drive the greatest impact on cost, speed, and quality.","Dashboard shows value metrics such as cost avoidance, time saved, error reduction, and outcome density for each worker; time windows such as 7, 30, and 90 days are supported; data can be exported for presentations.",Must,
EPIC 6 – Productivity and Value Attribution,Outcome Credits Engine,"As Finance, I assign and track Outcome Credits for Digital Workers so business value can be quantified and tied to verified outcomes.",Outcome Credits are issued based on validated business outcomes; credits link back to specific workers and processes; credits have an associated monetary or KPI value; credit history is immutable and auditable.,Must,
EPIC 6 – Productivity and Value Attribution,Work Redistribution Analyzer,"As Strategy, I analyze how Digital Workers have shifted work away from humans so I can see where manual effort has been reduced or repurposed.","Analyzer classifies tasks handled by Digital Workers by type and previous human owner; tool estimates FTE hours displaced or uplifted; results can be grouped by BU, process, and role.",Must,
EPIC 6 – Productivity and Value Attribution,Process Level Value Attribution Matrix,"As Strategy, I attribute Digital Worker value to specific business processes and units so I can see where automation delivers the most impact.",Matrix shows value metrics by process and BU; supports drill down from worker to process to BU; value totals reconcile with overall worker value.,Must,
EPIC 6 – Productivity and Value Attribution,Human Productivity Uplift Engine,"As Digital HR, I quantify how Digital Workers improve human productivity so I can demonstrate workforce transformation.",Engine estimates FTE hours returned to teams; reports show reductions in manual steps and rework; uplift data can be sliced by BU and role.,Must,
EPIC 6 – Productivity and Value Attribution,Value Forecasting Model,"As Finance, I forecast expected value from deploying or expanding Digital Workers so investments can be prioritized and justified.","Model accepts assumptions such as volume, cycle time change, and error reduction; forecast outputs include projected cost avoidance and time savings; forecasts can be compared with actuals over time.",Should,
EPIC 6 – Productivity and Value Attribution,Value to Risk Ratio,"As Leadership, I compare Digital Workers using a Value to Risk Ratio so I can balance aggressive automation with acceptable risk.",Ratio uses a combination of value metrics and risk tier weighting; workers are ranked by ratio; workers with low ratio are candidates for optimization or retirement.,Should,
EPIC 6 – Productivity and Value Attribution,Financial Auditability Layer,"As Finance, I require auditable value attribution records so Digital Worker ROI stands up to internal and external scrutiny.",Value calculations and Outcome Credits are logged with transparent formulas; exports include data required for finance and audit review; changes to methodology are versioned and documented.,Should,Use Foundry's cost and usage telemetry plus Azure cost management data as the evidentiary base; this story should ensure that business value and savings calculations trace back to those authoritative records for audit.
EPIC 6 – Productivity and Value Attribution,Digital Worker Contribution Index,"As Strategy, I view a Contribution Index that summarizes each Digital Worker’s impact on OKRs and cross functional KPIs so I can identify strategic workers.","Index aggregates contributions to selected KPIs such as revenue protection, customer satisfaction, or operational efficiency; index is filterable by BU and process; top contributors are highlighted for reuse and expansion.",Could,
EPIC 7 – Human Impact Analytics,Human Override Analysis Engine,"As Compliance, I analyze human overrides of Digital Worker actions so I can understand misalignment, trust gaps, or areas where automation is not yet appropriate.","Engine tracks override frequency, reasons, and associated workers and processes; patterns are surfaced such as frequent overrides for particular intents; findings feed back into governance and design decisions.",Must,
EPIC 7 – Human Impact Analytics,Human Productivity Impact Tracker,"As Leadership, I track how Digital Workers change human workload so I can quantify the impact on employee productivity.","Tracker reports FTE hours saved, reduction in manual steps, and change in error correction effort; impact can be viewed by BU, team, and role; trends show how impact evolves over time.",Must,
EPIC 7 – Human Impact Analytics,Human Experience Score (HX),"As Strategy, I measure human experience when working with Digital Workers so I can assess adoption, trust, and collaboration quality.","HX score aggregates feedback signals such as ratings, survey results, and complaint rates; HX is reported by worker and by BU; low HX scores trigger investigation and potential design changes.",Should,
EPIC 7 – Human Impact Analytics,Workload Redistribution Model,"As Leadership, I view how Digital Workers redistribute workload across teams so I can identify where new capacity has been created or stress remains.",Model shows where work has shifted rather than disappeared; redistribution metrics can be grouped by team and BU; outputs highlight teams with high residual manual load despite automation.,Should,
EPIC 7 – Human Impact Analytics,Trust Trajectory Score,"As Strategy, I track how trust in Digital Workers changes over time so I can understand long term adoption trends.","Trust score uses signals such as override rates, HX scores, and voluntary usage; trajectory is viewed over time for workers and BUs; declining trust triggers review of design or governance.",Should,
EPIC 7 – Human Impact Analytics,Human and Digital Handoff Metrics,"As Operations, I measure the quality of handoffs between humans and Digital Workers so I can improve end to end workflows.","Metrics include handoff latency, error rates after handoff, and escalation success; problem handoffs are flagged by process and worker; improvements can be tracked after workflow changes.",Should,"Exploit Foundry's task completion and adherence evaluators, along with any explicit handoff logs, to quantify how often and how well tasks move between agents and humans; this story adds business interpretation and reporting on top."
EPIC 7 – Human Impact Analytics,Communication Load Impact,"As Operations, I measure reductions in communication load so I can see how Digital Workers simplify collaboration and coordination.","Impact reports show changes in tickets, emails, chat messages, and escalations before and after deployment; data can be segmented by BU and team; high impact scenarios are highlighted.",Should,
EPIC 7 – Human Impact Analytics,Human Digital Workflow Map,"As Operations, I visualize Human and Digital Worker interactions in key workflows so I can identify bottlenecks and redesign opportunities.","Maps show where humans and Digital Workers interact, hand off, or wait; high friction points are highlighted based on SLO and HX data; maps can be exported for process redesign workshops.",Could,
EPIC 7 – Human Impact Analytics,Collaboration Friction Score,"As Strategy, I quantify friction between humans and Digital Workers so I can identify where additional change management or design work is needed.","Score uses factors such as complaints, overrides, rework, and low HX; high friction scores are reported by BU, team, and process; improvements are tracked after interventions.",Could,
EPIC 8 – Organizational Alignment,Digital Workforce Org Chart,"As Leadership, I view a Digital Workforce org chart so I can see how Digital Workers are deployed across business units and reporting structures.",Org chart shows Digital Workers under their primary Product Owner and BU; dotted line oversight such as Risk and Compliance can be displayed; chart updates from catalog data on a regular schedule.,Must,
EPIC 8 – Organizational Alignment,"Assignment Matrix by BU, Region, and Team","As Operations, I view an assignment matrix that shows which Digital Workers support which BUs, regions, and teams so I can understand coverage and dependencies.","Matrix lists workers by BU, region, and team; filters allow focusing on specific segments; matrix can be exported for planning and review.",Must,
EPIC 8 – Organizational Alignment,Workforce Ownership Model,"As Digital HR, I assign accountable owners for each Digital Worker so there is no ambiguity about who is responsible for outcomes and governance.",Ownership model requires at least a Product Owner and technical owner for each worker; missing owners are flagged in reports; ownership details are visible from the identity card and org chart.,Must,
EPIC 8 – Organizational Alignment,Org Level Role Definitions for Digital Worker Management,"As Digital HR, I define organizational roles such as Digital Workforce Manager, Digital Risk Owner, and Digital Operations Lead so responsibilities for managing Digital Workers are standardized across the company.",Role catalog defines responsibilities and decision rights for each role; Digital Workers can be linked to these roles; role definitions are referenced in governance workflows and documentation.,Must,
EPIC 8 – Organizational Alignment,Digital Worker Reporting Line Logic,"As Strategy, I assign reporting lines for Digital Workers so accountability for performance, risk, and behavior is clear.","Reporting structure distinguishes primary Product Owner from secondary oversight roles such as Risk, Compliance, and SRE; reporting logic is displayed in the identity card and org chart; reporting assignments are used in escalation workflows.",Should,
EPIC 8 – Organizational Alignment,Organizational Risk Distribution Heatmap,"As Risk, I view a heatmap of Digital Worker risk by BU and region so I can identify where governance needs to be strengthened.",Heatmap shows counts and tiers of workers by BU and region; High and Critical concentrations are highlighted; filters allow drill down by process or job family.,Should,Agent365 exposes per-agent risk and incident data; refine this story to aggregate that data by BU/department and visualize risk concentration across the org instead of building risk sensing independently.
EPIC 8 – Organizational Alignment,Org Evolution Tracking and Adoption Analytics,"As Leadership, I track how Digital Worker adoption spreads across BUs and regions so I can measure progress of digital transformation.",Adoption metrics show numbers and coverage of workers by BU and region over time; trends and milestones are displayed; lagging and leading BUs are highlighted.,Should,"Use the agent inventory and usage trends from Agent365/Foundry as the core dataset; this story should define adoption KPIs and dashboards (agents over time, usage by BU) built from that platform telemetry."
EPIC 9 – Capability Evolution Governance,Capability Change Tracking and Approval,"As Digital HR, I track changes to a Digital Worker’s capabilities and ensure they pass through approval so scope evolution remains governed.","Capability changes such as new tools, intents, or instructions are recorded; High and Critical workers require governance approval before changes go live; history of capability changes is linked to the worker’s record.",Must,Rely on Foundry and source control for version and capability change tracking; refine this story to wrap those mechanisms with an approval workflow and risk-aware review when new skills or tools are added to an agent.
EPIC 9 – Capability Evolution Governance,Skill Regression Detection,"As Digital HR, I detect regressions in a Digital Worker’s SLO performance after capability updates so degraded behavior is caught early.","Post change SLO metrics are compared to prior baselines; significant declines in TTO, policy pass rate, or autonomy ratio trigger alerts; regressions can feed into corrective actions.",Must,Foundry supports side-by-side evaluations of agent versions; this story should define regression criteria and automation that flags when updated agents underperform prior versions on key evaluation suites.
EPIC 9 – Capability Evolution Governance,Pre Release Evaluation Checklist,"As Digital HR, I use a pre release checklist for Digital Worker capability updates so business controls are validated before rollout.","Checklist includes validation of scope, risk tier, policy packs, and escalation paths; updates cannot be promoted to production until required checks are completed; completion is logged with approver identity.",Must,Leverage Foundry's evaluation and safety testing pipelines; refine this story into a governance checklist that requires specific Foundry evaluation runs and thresholds to pass before agents or new capabilities go live.
EPIC 9 – Capability Evolution Governance,Capability Risk Reassessment,"As Risk, I recalculate a Digital Worker’s risk tier when capabilities change so governance remains aligned with actual risk.",Risk tier is recalculated whenever major capabilities are added or removed; changes in tier are logged; additional controls are applied automatically when tier increases.,Should,Use Agent365's real-time risk and access change signals when capabilities evolve; this story should formalize how those signals trigger a manual or semi-automated re-rating of the agent's risk tier.
EPIC 9 – Capability Evolution Governance,Business Process Alignment Validation,"As Strategy, I validate that new or changed capabilities still align with the Digital Worker’s assigned business processes so the worker is not misused or misaligned.",Validation step checks that processes associated with the worker remain correct; misalignments are flagged for review; decisions are recorded in the worker’s history.,Should,
EPIC 9 – Capability Evolution Governance,Capability Evolution Timeline and History,"As Audit, I view a timeline of capability evolution for each Digital Worker so I can trace how its role and scope have changed over time.","Timeline displays significant capability additions, removals, and reconfigurations; entries link to approvals and performance impact where available; timeline can be exported for audits.",Could,"Combine Foundry deployment history, source control logs, and Agent365 changes into a consolidated timeline; this story focuses on presenting that history in a way that supports audits and post-incident reviews."
EPIC 10 – Workforce Culture and Collaboration,Digital Worker Collaboration Protocol,"As Digital HR, I define how Digital Workers collaborate and delegate work to each other so cross worker interactions are predictable and governed.","Protocol describes allowed delegation patterns, coordination flows, and escalation points; protocol can vary by job family or BU; workers that violate collaboration rules are flagged for review.",Must,
EPIC 10 – Workforce Culture and Collaboration,Behavior Norms Enforcement,"As Digital HR, I enforce behavior norms for Digital Workers so tone, escalation behavior, and safety expectations are consistent across the workforce.","Norms include required escalation patterns, unacceptable behaviors, and communication expectations; violations are surfaced through monitoring and may trigger corrective action; norms are referenced in design and governance.",Must,Apply Azure/Foundry content safety and guardrails to enforce baseline behavior norms (no toxic or unsafe content); this story adds company-specific etiquette rules via prompts or custom filters on top of those capabilities.
EPIC 10 – Workforce Culture and Collaboration,Communication Policies per Business Unit,"As Digital HR, I define Digital Worker communication policies per business unit so messages, tone, and level of detail match audience expectations.","Policies describe tone, structure, and content guidelines for Agents in each BU; policies are documented and available to engineering and design; adherence is sampled through review or audits.",Must,
EPIC 10 – Workforce Culture and Collaboration,Cross Worker Conflict Resolution Logic,"As Digital HR, I define conflict resolution rules so Digital Workers handle overlapping tasks and decisions in a predictable way.",Logic describes priority rules when two workers can act on the same item; logic defines when one worker should defer to another; conflicts and resolutions are logged for analysis.,Must,
EPIC 10 – Workforce Culture and Collaboration,Workforce Behavior Drift Detection,"As Compliance, I detect behavior drift in Digital Workers so deviations from agreed norms are corrected before they erode trust or control.","Monitoring checks for changes in tone, escalation patterns, and collaboration behavior; significant deviations from baseline norms are flagged; flagged workers can be placed under closer review or temporary restrictions.",Must,Use Foundry's observability and evaluation metrics over time to detect drift in response quality or safety; this story defines the behavioral signals and thresholds that should trigger investigation or retraining.
EPIC 10 – Workforce Culture and Collaboration,Collective Intelligence Model,"As Strategy, I measure how groups of Digital Workers acting together affect TTO and SLOs so I can design effective multi worker teams.","Model aggregates performance metrics at team level; teams can be defined by process, BU, or explicit grouping; results highlight combinations of workers that deliver better or worse outcomes together.",Should,
